2024-06-10 13:56:18
3.327: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.327: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.328: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.328: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.403: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.404: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.405: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.406: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.406: SRC: 0x1, DST: 0x52, MESS: GGS
3.407: SRC: 0x1, DST: 0x53, MESS: GGS
3.408: SRC: 0x52, DST: 0x1, MESS: R00 1 0
3.409: SRC: 0x53, DST: 0x1, MESS: R00 1 0
3.410: SRC: 0x1, DST: 0x52, MESS: IGI 1
3.411: SRC: 0x1, DST: 0x53, MESS: IGI 1
3.411: SRC: 0x52, DST: 0x1, MESS: R00 0
3.412: SRC: 0x53, DST: 0x1, MESS: R00 0
3.413: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.424: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.425: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.426: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.477: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.477: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.478: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.478: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.527: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.527: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.528: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.528: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.577: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.577: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.578: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.578: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.627: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
3.627: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
3.628: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3F26
3.628: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3F26
3.676: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
